STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/13/2022,100,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/14/2022,100,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/15/2022,98,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/16/2022,96,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/17/2022,96,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/18/2022,97,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/19/2022,97,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/20/2022,94,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/21/2022,94,",,S",71,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/22/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/23/2022,94,",,S",75,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/24/2022,94,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/25/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/26/2022,91,",,S",73,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/27/2022,87,",,S",71,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/28/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/29/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/30/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/1/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/2/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/3/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/4/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/5/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/6/2022,90,",,S",71,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/7/2022,86,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/8/2022,86,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/9/2022,78,",,S",70,",,S"
